"","ERR188044","ERR188104","ERR188234","ERR188245","ERR188257","ERR188273","ERR188337","ERR188383","ERR188401","ERR188428","ERR188454","ERR204916"
"NR_003226",8.60036862067362,8.5361383569864,8.48791657187495,8.71268058572317,8.45573696645836,8.4960743972892,8.62708714623624,8.69803858968886,8.56723661953603,8.85731626433451,8.57482250223212,8.36476085396691
"NR_033955",7.6817564582512,7.68347298157834,7.38205262846644,7.73489566875631,8.33181575423281,7.79345927812807,7.38205262846644,7.70791347455429,7.38205262846644,7.73954057202614,7.70278987846937,7.70662113091051
"NM_014420",7.92924505856371,7.38205262846644,7.38205262846644,7.38205262846644,7.38205262846644,7.38205262846644,7.38205262846644,7.85686651298323,7.80820419906351,7.89365224904039,7.38205262846644,7.79780111415999
"NM_001190447",7.86786214930536,7.7721423711094,7.38205262846644,8.06762854714408,7.94588019861319,7.38205262846644,8.07148303561929,7.8996352211576,7.97334779163655,8.09326002622613,7.70278987846937,7.98630854925653
"NM_001257392",8.1967654807302,7.38205262846644,7.68422362081375,7.73489566875631,7.38205262846644,7.38205262846644,7.68230897063899,7.70791347455429,7.66642725412686,7.73954057202614,7.38205262846644,7.70662113091051
"NM_001190442",8.40235599714618,8.75810016254103,8.67064018257822,8.6742246447513,9.26795509935282,8.5710633208941,9.71278742567507,9.41834680476404,9.15318557151405,9.37955809106282,9.7231771540222,8.89162736916832
"NM_147223",10.6111333074561,10.1100499604994,9.77824720417256,9.64818825353551,9.54057615661776,10.1470173883857,9.65897226229892,9.70262294470351,9.58455546748594,10.3802239549461,10.0601620409153,9.99531068513978
"NM_001146321",7.6817564582512,7.38205262846644,7.68422362081375,7.73489566875631,7.71742585086582,7.38205262846644,8.38667011237619,7.70791347455429,7.66642725412686,8.24108580936632,7.70278987846937,7.70662113091051
"NR_027855",9.70039921930251,9.82270160733063,9.72251393328811,9.62176674221692,9.76472772451578,9.8476046131501,9.8871064200478,10.1090979271141,9.21849581783454,10.1724244870416,9.90032977770847,10.0381075284072
"NM_001101391",8.01205092070038,8.04584457322799,8.06105827592889,8.37960495894307,8.31834599956511,7.38205262846644,8.50031440065667,8.3199405639373,8.17074892001412,7.93789495024804,8.31630906233272,8.31108285684192
"NM_006591",10.2456737419664,10.5524691194976,10.1200824463827,10.1240506397371,10.1984797631913,10.185431263557,10.4928645869558,10.3519216674656,10.5508161398124,10.4990435931315,10.0785480165657,10.6298082344596
"NR_024191",9.24121039676129,9.39459716795423,9.15377131986275,9.59872144951019,9.40785554194282,9.47829578874039,9.29251633000703,9.52453401334818,9.38434552088228,9.37955809106282,9.51921303499959,9.32443338775068
"NM_015354",11.5073985760856,11.7073714401798,11.6012397281951,11.3577710515109,11.3997415929587,11.5655474565779,11.4352186321066,11.2490475130167,11.5874517552493,11.606088435926,11.0376212026882,11.3011439770429
