transcript_id,SRR1039508,SRR1039509,SRR1039512,SRR1039513
ENST00000493678,0,0,0,67
ENST00000417917,0,0,0,0
ENST00000294600,0,0,0,0
ENST00000466300,0,0,0,0
ENST00000442305,0,0,0,0
ENST00000621981,797,903,1217,1024
ENST00000440038,3,0,8,3
ENST00000609981,0,0,0,0
ENST00000614998,0,0,0,0
ENST00000355826,0,0,0,0
ENST00000384328,0,0,0,0
ENST00000641426,0,0,0,0
ENST00000335137,0,0,0,0
ENST00000356937,25,0,0,0
ENST00000462432,8,6,0,5
ENST00000472264,0,0,0,0
ENST00000464351,2,1,0,1
ENST00000453341,0,0,0,0
ENST00000460696,0,0,0,0
ENST00000342753,0,0,0,0
ENST00000464195,0,0,0,0
ENST00000426406,0,0,0,0
ENST00000606993,0,0,0,0
ENST00000492842,0,0,0,0
ENST00000427317,0,0,0,0
ENST00000492845,0,0,0,1
ENST00000583026,0,0,0,0
ENST00000445648,5,8,0,0
ENST00000641403,0,0,0,0
ENST00000442636,0,0,0,0
ENST00000498342,0,0,0,13
ENST00000449154,0,0,0,0
ENST00000389632,0,0,0,0
ENST00000377860,0,0,0,0
ENST00000423764,23,0,0,0
ENST00000623083,60,51,76,31
ENST00000418286,0,0,0,0
ENST00000378712,0,13,0,0
ENST00000379031,10,4,0,2
ENST00000379037,0,0,0,0
ENST00000469251,0,0,0,0
ENST00000450402,0,0,0,0
ENST00000445254,0,0,0,0
ENST00000469499,0,0,0,0
ENST00000360001,319,259,0,195
ENST00000418137,0,0,0,0
ENST00000379325,0,0,0,0
ENST00000321336,0,2,0,0
ENST00000379320,0,0,0,0
ENST00000378322,12,13,0,1
ENST00000403197,0,0,0,2
ENST00000332831,0,0,0,0
ENST00000602865,4,3,0,4
ENST00000461311,0,0,0,0
ENST00000641006,0,0,0,0
ENST00000514189,0,0,0,0
ENST00000607222,9,0,0,7
ENST00000453576,0,0,0,0
ENST00000476993,0,9,0,6
ENST00000377782,0,0,0,0
ENST00000403997,0,0,0,0
ENST00000471190,0,0,0,0
ENST00000494149,2,2,3,0
ENST00000498810,2,1,0,0
ENST00000491311,0,5,0,0
ENST00000418865,231,197,0,162
ENST00000637179,0,0,0,0
ENST00000471354,0,0,0,0
ENST00000514436,3,4,4,1
ENST00000496488,0,0,0,0
ENST00000377674,0,0,0,2
ENST00000478938,5,40,0,8
ENST00000458452,0,0,0,0
ENST00000572242,15,20,0,18
ENST00000585745,0,0,0,0
ENST00000616125,0,0,0,0
ENST00000504599,0,0,0,0
ENST00000319084,0,0,0,0
ENST00000470357,0,0,0,0
ENST00000602640,0,0,0,0
ENST00000606170,0,0,0,0
ENST00000377411,0,0,0,0
ENST00000377414,0,0,0,0
ENST00000602883,0,0,0,1
ENST00000377320,0,0,0,0
ENST00000493797,0,0,0,0
ENST00000460192,0,0,0,0
ENST00000607589,1,1,0,1
ENST00000377258,0,0,0,0
ENST00000377256,0,0,0,0
ENST00000416272,0,0,0,0
ENST00000616947,0,0,0,0
ENST00000497940,0,0,0,0
ENST00000427787,0,0,0,0
ENST00000516168,0,0,0,0
ENST00000502512,0,0,0,0
ENST00000434264,1,1,0,0
ENST00000525603,0,0,0,0
ENST00000341524,0,0,0,0
ENST00000638604,0,0,0,0
ENST00000633651,0,0,0,0
ENST00000486728,0,0,0,0
ENST00000467339,2,1,0,8
ENST00000497304,0,1,0,0
ENST00000511910,0,0,0,0
ENST00000426784,0,0,0,0
ENST00000417705,0,0,0,0
ENST00000354980,0,0,0,0
ENST00000432429,0,0,0,0
ENST00000637775,0,0,0,0
ENST00000635557,0,0,0,0
ENST00000635556,0,0,0,0
ENST00000343813,171,0,0,141
ENST00000434641,0,0,0,0
ENST00000462356,7,4,0,0
ENST00000641472,0,0,0,0
ENST00000607031,0,0,0,0
ENST00000462379,0,0,0,0
ENST00000385042,0,0,0,0
ENST00000377893,73,0,0,15
ENST00000377898,0,0,0,0
ENST00000512004,0,0,0,0
ENST00000480393,0,0,0,0
ENST00000470030,0,0,0,0
ENST00000641507,0,0,0,0
ENST00000423796,0,0,0,0
ENST00000464311,0,0,0,0
ENST00000596308,3,4,0,1
ENST00000459822,0,0,0,0
ENST00000485073,0,0,0,0
ENST00000411708,0,0,0,0
ENST00000461465,0,0,0,0
ENST00000460998,0,0,0,0
ENST00000490017,0,0,0,0
ENST00000472194,5,0,0,0
ENST00000270722,5,5,0,1
ENST00000270720,0,0,0,0
ENST00000379339,9,0,0,0
ENST00000450696,0,0,0,0
ENST00000451054,0,0,0,0
ENST00000400903,0,0,0,0
ENST00000581512,0,0,0,0
ENST00000054668,0,0,0,0
ENST00000540437,29,24,0,14
ENST00000472445,2,6,0,7
ENST00000646539,0,0,0,65
ENST00000458203,12,12,6,1
ENST00000415267,0,0,0,0
ENST00000488147,50,40,67,25
ENST00000498806,0,0,0,0
ENST00000413148,0,0,0,0
ENST00000646660,0,0,0,0
ENST00000492476,0,0,0,0
ENST00000302692,0,0,0,3
ENST00000424862,0,0,0,0
ENST00000632445,0,0,0,0
ENST00000520777,0,12,0,0
ENST00000495791,0,0,0,0
ENST00000602477,0,0,0,0
ENST00000478901,4,0,0,0
ENST00000461893,9,9,0,34
ENST00000377663,0,0,0,0
ENST00000442987,4,5,4,3
ENST00000495558,7,0,0,0
ENST00000485748,3,0,0,9
ENST00000461106,0,0,0,0
ENST00000623863,0,0,0,0
ENST00000505225,0,0,0,0
ENST00000469113,0,0,0,0
ENST00000377403,0,0,0,406
ENST00000474475,0,0,0,0
ENST00000416860,12,7,0,5
ENST00000349431,0,27,0,0
ENST00000471768,0,0,0,0
ENST00000455744,0,0,0,0
ENST00000582517,0,0,0,0
ENST00000434139,0,0,0,0
ENST00000641871,0,0,0,0
ENST00000421495,0,0,0,0
ENST00000493657,0,6,0,0
ENST00000338591,14,0,0,0
ENST00000481945,0,0,0,0
ENST00000377532,0,0,0,0
ENST00000643905,149,105,0,40
ENST00000424689,0,0,0,0
ENST00000479362,0,1,0,0
ENST00000479361,0,0,0,0
ENST00000428771,0,0,0,0
ENST00000435358,0,0,0,0
ENST00000470596,0,0,0,0
ENST00000435351,0,0,0,0
ENST00000475091,0,0,0,0
ENST00000472017,0,0,0,0
ENST00000638411,0,0,0,0
ENST00000615951,0,0,0,0
ENST00000453364,0,0,0,0
ENST00000635092,0,0,0,0
ENST00000479566,0,0,0,0
ENST00000337907,0,0,0,115
ENST00000486400,2,0,0,0
ENST00000471889,0,0,0,9
ENST00000639070,1,0,0,1
ENST00000590817,5,0,0,0
ENST00000486396,0,0,0,0
ENST00000450983,0,0,0,0
ENST00000307896,0,0,0,0
ENST00000361605,0,0,0,0
ENST00000508416,0,0,0,0
ENST00000461580,0,0,0,0
ENST00000635405,0,0,0,0
ENST00000433179,0,0,0,0
ENST00000474874,0,0,0,0
ENST00000379236,0,0,0,0
